Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/17/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/16/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/16/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
