Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
10/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
10/29/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
